File: graphite-benchmark-profile
Type: alloc_space
Time: Sep 8, 2026 at 3:24pm (KST)
Showing nodes accounting for 16339.56MB, 100% of 16339.56MB total
Showing top 100 nodes out of 143
      flat  flat%   sum%        cum   cum%
         0     0%   100%     0.50MB 0.0031%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.indexedDistinct.func5
         0     0%   100%   346.52MB  2.12%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.javaCase (inline)
         0     0%   100%  7069.26MB 43.26%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.lazyFiltered
         0     0%   100%    29.93MB  0.18%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.lazyGenericNodes
         0     0%   100%   778.03MB  4.76%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.lazyGenericNodes.func1
         0     0%   100%     8.55MB 0.052%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.mainCandidateIterator
         0     0%   100%     8.55MB 0.052%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryCandidateIterator
         0     0%   100%     0.56MB 0.0034%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryExactMatches
         0     0%   100%     4.57MB 0.028%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryProjection
         0     0%   100%     8.05MB 0.049%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinaryProjection.func1
         0     0%   100%     9.55MB 0.058%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.ordinarySourceRows
         0     0%   100%     0.50MB 0.0031%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.project
         0     0%   100%     0.50MB 0.0031%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.project.func1
         0     0%   100%  6199.79MB 37.94%  github.com/johnsonlee/graphite/graphite-server/internal/query.evaluator.regexMatch
         0     0%   100%  7216.13MB 44.16%  github.com/johnsonlee/graphite/graphite-server/internal/query.executeSources
         0     0%   100%    88.01MB  0.54%  github.com/johnsonlee/graphite/graphite-server/internal/query.javaUTF16 (inline)
         0     0%   100%    29.93MB  0.18%  github.com/johnsonlee/graphite/graphite-server/internal/query.lazyGenericIDs
         0     0%   100%     0.50MB 0.0031%  github.com/johnsonlee/graphite/graphite-server/internal/query.mainNodeKey
         0     0%   100%     8.05MB 0.049%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.[]map[string]interface {}].func1.1
         0     0%   100%        1MB 0.0061%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool]
         0     0%   100%  6020.98MB 36.85%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.map[string]bool].func1.1
         0     0%   100%  2997.30MB 18.34%  github.com/johnsonlee/graphite/graphite-server/internal/query.runDistinctTasks[go.shape.struct { github.com/johnsonlee/graphite/graphite-server/internal/query.rows []map[string]interface {}; github.com/johnsonlee/graphite/graphite-server/internal/query.known map[string]bool; github.com/johnsonlee/graphite/graphite-server/internal/query.index *github.com/johnsonlee/graphite/graphite-server/internal/store.DistinctStringIndex }].func1.1
