  PID  %CPU    RSS COMM
  606   0.0   3184 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  607   0.0  19680 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  608   0.0   5424 /System/Library/CoreServices/APFSUserAgent
  610   0.0  16800 /usr/libexec/nsurlsessiond
  611   0.0  24400 /usr/libexec/rapportd
  612   0.0  26448 /usr/sbin/usernoted
  613   0.0  19296 /usr/libexec/routined
  614   0.0  11680 /usr/libexec/mobileactivationd
  616   0.0  20128 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  617   0.0  28288 /usr/libexec/secd
  618   0.0  10048 /System/Library/CoreServices/lockoutagent
  619   0.0   5392 /usr/libexec/secinitd
  620   0.0  13360 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  621   0.0  20960 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  622   0.0  12176 /usr/libexec/findmydevice-user-agent
  623   0.0  12880 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  624   0.0   9216 /usr/libexec/pboard
  625   0.0 601232 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  626   0.0   2064 /usr/sbin/distnoted
  627   0.0  21472 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  629   0.0   7824 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  630   0.0  13840 /System/Library/CoreServices/talagent
  631   0.0  40960 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  632   0.0  10176 /usr/libexec/dmd
  634   0.0   2064 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  635   0.0  11824 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  636   0.1  86160 /Applications/iTerm.app/Contents/MacOS/iTerm2
  637   0.0  43008 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  638   0.0  35184 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  639   0.0  20512 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  640   0.0  31088 /Applications/Sublime Text.app/Contents/MacOS/sublime_text
  641   0.0  38816 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  642   0.0  70560 /System/Applications/Messages.app/Contents/MacOS/Messages
  643   0.0  16960 /usr/libexec/trustd
  644   0.0  15104 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  647   0.0   7600 /usr/libexec/containermanagerd
  648   0.0  12464 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  649   2.9  49824 /System/Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor
  650   0.0 304688 /System/Applications/Mail.app/Contents/MacOS/Mail
  651   0.0  42704 /System/Applications/Notes.app/Contents/MacOS/Notes
  652   0.0   6016 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  653   0.0  31424 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  654   0.0  60624 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  655   0.0  11152 /System/Library/CoreServices/iconservicesagent
  656   0.0  15744 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  657   0.0  96432 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  658   0.0  23968 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  661   0.0  16960 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  662   0.0  13760 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  663   0.0   4304 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  664   0.0  10944 /usr/sbin/filecoordinationd
  665   0.0  25728 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
