Darwin johnsonlee.local 23.3.0 Darwin Kernel Version 23.3.0: Wed Dec 20 21:31:10 PST 2023; root:xnu-10002.81.5~7/RELEASE_ARM64_T6031 arm64 arm Darwin
hw.memsize: 68719476736
hw.logicalcpu: 16
machdep.cpu.brand_string: Apple M3 Max
go version go1.22.0 darwin/arm64

  PID  %CPU    RSS COMM
  644   0.0  16400 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  647   0.0   9488 /usr/libexec/containermanagerd
  648   3.4  15600 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  649   0.1  50896 /System/Applications/Utilities/Activity Monitor.app/Contents/MacOS/Activity Monitor
  650   0.0 428144 /System/Applications/Mail.app/Contents/MacOS/Mail
  651   0.0  46464 /System/Applications/Notes.app/Contents/MacOS/Notes
  652   0.0   6048 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  653   0.0  33792 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  654   0.0  63984 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  655   0.0  11184 /System/Library/CoreServices/iconservicesagent
  656   0.0  18528 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  657   0.0 122144 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  658   0.0  41248 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  661   0.0  21632 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  662   0.0  21392 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  663   0.0   4352 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  664   0.0  12352 /usr/sbin/filecoordinationd
  665   0.0  27088 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  666   0.0   2496 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  667   0.0  70688 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  668   0.0  29168 /usr/libexec/transparencyd
  669   0.0  63728 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  670   0.0  16464 /usr/libexec/pkd
  671   0.0  71856 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  672   0.0  10944 /usr/sbin/systemsoundserverd
  673   0.0   9408 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
  674   0.0  20400 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  675   0.0   9232 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  676   0.0   5248 /usr/libexec/wallpaperexportd
  677   0.0  23632 /usr/libexec/ContinuityCaptureAgent
  678   0.0   7104 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  679   0.0   5808 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  680   0.0   4544 automountd
  682   0.0  12384 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/149.0.7827.155/Helpers/chrome_crashpad_handler
  683   0.0  13472 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  684   0.0  15376 /System/Library/CoreServices/sharedfilelistd
  685   0.0  12000 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  686   0.0  26800 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  687   0.0  11504 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
