index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
79	graph-id-property-wrapped-contains-target-16-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12736791	7501042	1.6980028907983717	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
80	graph-id-property-wrapped-contains-target-16-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	314583	1368000	0.22995833333333332	1	771	41ad9b5110585bc89df35b9d0a0c6bd66daaf6c239b4212552d078b2f2a28c34				
81	graph-id-property-wrapped-contains-target-16-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1222750	11912041	0.10264823635177213	200	94237	51b180cd96740a311cc61165baa84cc05517b2f28ac6c70debc25f8e14514414				
82	graph-id-property-wrapped-contains-target-17-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13908917	8638209	1.610162129672945	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
83	graph-id-property-wrapped-contains-target-17-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	270542	1509625	0.1792113935580028	5	2976	7d286938fe2f40cd4cb86cd26be11c3221bfff86202fa9b705bdc1c77967743f				
84	graph-id-property-wrapped-contains-target-17-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1253417	15135208	0.08281465309231296	200	92381	87c915d88746be4a40b85e67e7de71966365a455358cc138185e5c1f5bcf1251				
85	graph-id-property-wrapped-contains-target-18-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13167333	7961541	1.6538673857234423	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
86	graph-id-property-wrapped-contains-target-18-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	279333	1463833	0.1908229968855737	12	6781	abf0682228739bdef1eb0d4b5b1449d7697f9412e644bd07a974f6e04213652e				
87	graph-id-property-wrapped-contains-target-18-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1226708	12208500	0.10047982962689929	200	95198	7d65fbc43e0cf8a1d4323c709e6963c32bdea3f389f5b683f619eee1fd79dc90				
88	graph-id-property-wrapped-contains-target-19-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12580958	7445875	1.6896547417194083	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
89	graph-id-property-wrapped-contains-target-19-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	282167	1397000	0.20198067287043664	11	6327	72232d5a8299b69c619beb4cebd0967a4ca8f1378844d7914f795f7c5126cc48				
90	graph-id-property-wrapped-contains-target-19-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1156792	11282417	0.10253051274385622	200	96673	6ab8193cda24a8f589b0e7412ffcc3549afc3180a092c899437bb3ef2f8324ef				
