index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
70	graph-id-property-wrapped-contains-target-13-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24700083	613708	40.24728861282564	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
71	graph-id-property-wrapped-contains-target-13-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	425583	2258542	0.18843262600385557	5	2824	ebb699b5b0554cc639408add00ca9d9aae37f3553c5e6ea606cb7e66e171933f				
72	graph-id-property-wrapped-contains-target-13-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1689209	21486625	0.07861676740763149	200	86344	2e714969993f2a86ba5c715dc52b2c7d6dbaed9b2320da2399ecdf29ec9f1e4e				
73	graph-id-property-wrapped-contains-target-14-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	22413666	629708	35.593745037382405	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
74	graph-id-property-wrapped-contains-target-14-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	293958	2244542	0.13096569366935437	3	1887	cfce92c06f8a0a93444f0ec3592aad57c255799cc7a1286e673f5c8cc3173d20				
75	graph-id-property-wrapped-contains-target-14-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1539167	20337500	0.07568122925629994	200	88102	f384f54b9e0494c603dd9e83eb2ca0ad0386a359a2e1d6a356e225c072977e41				
76	graph-id-property-wrapped-contains-target-15-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	21144041	607208	34.82174312591402	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
77	graph-id-property-wrapped-contains-target-15-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	353375	2148750	0.16445607911576499	1	765	ae20f86c5a0d43140079bdbb52041ad145178823d6189b8171bbe58dc0d82dcc				
78	graph-id-property-wrapped-contains-target-15-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1354834	17153167	0.07898448140801054	200	82358	6db1e45464dd1e42fc627a3ee68393b586d132e4817f87f1da72cb180e7925bb				
79	graph-id-property-wrapped-contains-target-16-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13206000	490958	26.89843123037001	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
80	graph-id-property-wrapped-contains-target-16-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	258167	1437292	0.179620425077159	1	771	41ad9b5110585bc89df35b9d0a0c6bd66daaf6c239b4212552d078b2f2a28c34				
81	graph-id-property-wrapped-contains-target-16-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1064875	12266583	0.08681105406452637	200	94237	51b180cd96740a311cc61165baa84cc05517b2f28ac6c70debc25f8e14514414				
82	graph-id-property-wrapped-contains-target-17-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	14318209	509416	28.10710499866514	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
83	graph-id-property-wrapped-contains-target-17-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	259334	1563791	0.16583673905272509	5	2976	7d286938fe2f40cd4cb86cd26be11c3221bfff86202fa9b705bdc1c77967743f				
84	graph-id-property-wrapped-contains-target-17-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1151042	15777084	0.0729565742313345	200	92381	87c915d88746be4a40b85e67e7de71966365a455358cc138185e5c1f5bcf1251				
85	graph-id-property-wrapped-contains-target-18-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13461583	489500	27.50068028600613	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
86	graph-id-property-wrapped-contains-target-18-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	410917	1505958	0.27286086331756926	12	6781	abf0682228739bdef1eb0d4b5b1449d7697f9412e644bd07a974f6e04213652e				
87	graph-id-property-wrapped-contains-target-18-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	901833	12700625	0.07100697800305103	200	95198	7d65fbc43e0cf8a1d4323c709e6963c32bdea3f389f5b683f619eee1fd79dc90				
88	graph-id-property-wrapped-contains-target-19-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	12677042	498917	25.409120154254115	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
89	graph-id-property-wrapped-contains-target-19-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	285917	1457208	0.19620877733309178	11	6327	72232d5a8299b69c619beb4cebd0967a4ca8f1378844d7914f795f7c5126cc48				
90	graph-id-property-wrapped-contains-target-19-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	853625	11645084	0.0733034643631596	200	96673	6ab8193cda24a8f589b0e7412ffcc3549afc3180a092c899437bb3ef2f8324ef				
91	graph-id-property-wrapped-contains-target-20-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	14265292	514083	27.749005510783277	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
92	graph-id-property-wrapped-contains-target-20-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	217250	1510917	0.14378685261996524	1	763	7811e1c0f64fb9174b112349d7a5f89fec8a71f59a6b66db3b1e97241f5dc93c				
93	graph-id-property-wrapped-contains-target-20-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	965250	13602250	0.07096252458233013	200	91604	a93cd6116bda146e01916f4ab7d54aa664da5b5c2287de109c82d6c48fcd38f8				
94	graph-id-property-wrapped-contains-target-21-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13499083	514584	26.233001803398473	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
95	graph-id-property-wrapped-contains-target-21-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	240625	1477584	0.16285030157337924	1	765	1cf450577b12b3b6a7c19f53479709a92a169add0c4f9defecbc55254bf8d5b3				
96	graph-id-property-wrapped-contains-target-21-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	906291	12823875	0.07067216422493201	200	96334	eb6b03599a26f520b43896ee6af6cb6d2a3ec0783b66a0bcb29642b029a4b6eb				
97	graph-id-property-wrapped-contains-target-22-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13199375	486500	27.131294964028775	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
98	graph-id-property-wrapped-contains-target-22-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	282958	1477125	0.19155995599559955	11	6331	43d88524d9da26840d520d8260a6801a2d864c2023e9806c3df4a5e673a5fd66				
99	graph-id-property-wrapped-contains-target-22-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	903334	11719167	0.07708175845604043	200	98397	b1cc908cf8cd6a2354b320afca9ad225990c59be93a53ddc3912afb3b0d46d7b				
100	graph-id-property-wrapped-contains-target-23-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	13004166	521500	24.93608053691275	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
101	graph-id-property-wrapped-contains-target-23-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	241834	1523333	0.15875320760464062	11	6135	718b52d4d32659cb9b39b84bdb87d6226a9be4436e73fa316936d1333dfa50c0				
102	graph-id-property-wrapped-contains-target-23-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	877083	12288292	0.07137550116810375	200	95056	d5aa9163a912371065002f30549de9cefea57af859f009a275e381b0a849633e				
