gc 76 @376.804s 1%: 0.12+295+0.013 ms clock, 1.9+0.21/1177/3211+0.21 ms cpu, 13475->13697->6197 MB, 14276 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 77 @381.202s 1%: 0.13+287+0.018 ms clock, 2.1+0.23/1147/3153+0.29 ms cpu, 11573->11771->6176 MB, 12396 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 78 @385.448s 1%: 0.13+290+0.021 ms clock, 2.0+0.20/1162/3180+0.34 ms cpu, 11530->11751->6197 MB, 12352 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 79 @389.713s 1%: 0.13+323+0.014 ms clock, 2.0+0.25/1292/3481+0.23 ms cpu, 11569->11804->6211 MB, 12395 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 80 @394.033s 1%: 0.13+294+0.016 ms clock, 2.0+0.26/1175/3209+0.26 ms cpu, 11555->11769->6191 MB, 12422 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 81 @398.250s 1%: 0.12+292+0.019 ms clock, 1.9+0.24/1169/3203+0.31 ms cpu, 11516->11737->6198 MB, 12383 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 82 @402.590s 1%: 0.11+289+0.016 ms clock, 1.8+0.28/1156/3168+0.25 ms cpu, 11529->11722->6169 MB, 12396 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 83 @406.931s 1%: 0.11+296+0.021 ms clock, 1.8+0.19/1182/3242+0.35 ms cpu, 11472->11686->6275 MB, 12340 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 84 @411.348s 1%: 0.12+325+0.018 ms clock, 1.9+0.26/1281/3508+0.29 ms cpu, 11669->11911->6653 MB, 12552 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 85 @416.007s 1%: 0.11+348+0.018 ms clock, 1.8+0.17/1392/3816+0.29 ms cpu, 12406->12650->7027 MB, 13307 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 86 @420.991s 1%: 0.12+379+0.014 ms clock, 1.9+0.18/1515/4156+0.23 ms cpu, 13090->13367->7502 MB, 14055 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 87 @427.464s 1%: 0.095+313+0.015 ms clock, 1.5+0.27/1251/3381+0.24 ms cpu, 13969->14169->6177 MB, 15005 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 88 @431.839s 1%: 0.099+290+0.020 ms clock, 1.5+0.18/1159/3178+0.32 ms cpu, 11532->11753->6197 MB, 12355 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 89 @436.120s 1%: 0.10+294+0.013 ms clock, 1.7+0.26/1176/3167+0.22 ms cpu, 11572->11803->6207 MB, 12395 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 90 @440.393s 1%: 0.12+293+0.012 ms clock, 1.9+0.21/1171/3206+0.19 ms cpu, 11562->11785->6200 MB, 12415 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 91 @444.701s 1%: 0.12+291+0.023 ms clock, 1.9+0.24/1166/3203+0.38 ms cpu, 11547->11757->6186 MB, 12401 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 92 @448.927s 1%: 0.11+295+0.014 ms clock, 1.9+0.22/1174/3183+0.23 ms cpu, 11520->11750->6206 MB, 12373 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 93 @453.191s 1%: 0.12+290+0.024 ms clock, 1.9+0.21/1159/3176+0.38 ms cpu, 11560->11777->6193 MB, 12414 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 94 @457.501s 1%: 0.11+301+0.010 ms clock, 1.8+0.21/1204/3295+0.16 ms cpu, 11533->11768->6310 MB, 12386 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 95 @462.044s 1%: 0.12+334+0.022 ms clock, 1.9+1.1/1336/3452+0.36 ms cpu, 11744->11971->6660 MB, 12622 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 96 @466.796s 1%: 0.11+349+0.008 ms clock, 1.8+0.20/1396/3813+0.13 ms cpu, 12379->12631->7055 MB, 13321 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 97 @472.002s 1%: 0.11+402+0.018 ms clock, 1.8+0.25/1610/4418+0.29 ms cpu, 13103->13364->7506 MB, 14111 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 98 @478.318s 1%: 0.10+303+0.019 ms clock, 1.7+0.34/1209/3133+0.31 ms cpu, 13926->14140->6191 MB, 15013 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 99 @482.684s 1%: 0.10+291+0.010 ms clock, 1.6+0.21/1165/3200+0.17 ms cpu, 11522->11739->6194 MB, 12383 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 100 @487.054s 1%: 0.094+291+0.015 ms clock, 1.5+0.23/1163/3193+0.24 ms cpu, 11576->11783->6183 MB, 12388 MB goal, 0 MB stacks, 0 MB globals, 16 P
