id	family	shape	projection	workloadIdentity	outcome	rowCount	digest	latencyNanos	hitGraphIds	inputSourceCount	resetMode	graphWorkUnits	filteredNodeLimitFastPathExecutions	generalFallbackExecutions
or-four-broad-rows-00	multi-keyword	or-four-broad-rows-00	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	107458583	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-00	multi-keyword	or-four-broad-distinct-00	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	357365709	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-01	multi-keyword	or-four-broad-rows-01	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	35091500	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-01	multi-keyword	or-four-broad-distinct-01	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	189504416	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-02	multi-keyword	or-four-broad-rows-02	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	20555917	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-02	multi-keyword	or-four-broad-distinct-02	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	171728834	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-03	multi-keyword	or-four-broad-rows-03	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17317667	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-03	multi-keyword	or-four-broad-distinct-03	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	172807708	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-04	multi-keyword	or-four-broad-rows-04	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	19026500	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-04	multi-keyword	or-four-broad-distinct-04	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	164792208	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-05	multi-keyword	or-four-broad-rows-05	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16563541	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-05	multi-keyword	or-four-broad-distinct-05	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	173106250	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-06	multi-keyword	or-four-broad-rows-06	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16966000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-06	multi-keyword	or-four-broad-distinct-06	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	170769000	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-07	multi-keyword	or-four-broad-rows-07	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17389792	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-07	multi-keyword	or-four-broad-distinct-07	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	167382292	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-08	multi-keyword	or-four-broad-rows-08	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17680708	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-08	multi-keyword	or-four-broad-distinct-08	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	171889625	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-09	multi-keyword	or-four-broad-rows-09	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	19577792	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-09	multi-keyword	or-four-broad-distinct-09	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	164503541	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-10	multi-keyword	or-four-broad-rows-10	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16233125	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-10	multi-keyword	or-four-broad-distinct-10	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	167489917	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-11	multi-keyword	or-four-broad-rows-11	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16577625	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-11	multi-keyword	or-four-broad-distinct-11	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	170559541	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-12	multi-keyword	or-four-broad-rows-12	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17432000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-12	multi-keyword	or-four-broad-distinct-12	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	170704459	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-13	multi-keyword	or-four-broad-rows-13	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	14487459	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-13	multi-keyword	or-four-broad-distinct-13	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	175231500	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-14	multi-keyword	or-four-broad-rows-14	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17363292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-14	multi-keyword	or-four-broad-distinct-14	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	171813000	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-15	multi-keyword	or-four-broad-rows-15	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	18193375	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-15	multi-keyword	or-four-broad-distinct-15	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	172727625	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-16	multi-keyword	or-four-broad-rows-16	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	16691542	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-16	multi-keyword	or-four-broad-distinct-16	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	174008875	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-17	multi-keyword	or-four-broad-rows-17	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	18317417	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-17	multi-keyword	or-four-broad-distinct-17	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	175091041	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-18	multi-keyword	or-four-broad-rows-18	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	18101292	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-18	multi-keyword	or-four-broad-distinct-18	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	172363916	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-19	multi-keyword	or-four-broad-rows-19	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17048750	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-19	multi-keyword	or-four-broad-distinct-19	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	171290583	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-20	multi-keyword	or-four-broad-rows-20	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	15801000	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-20	multi-keyword	or-four-broad-distinct-20	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	171965791	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-21	multi-keyword	or-four-broad-rows-21	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	17759959	fixture-android-00	64	per-query-cold	1152827	1	0
or-four-broad-distinct-21	multi-keyword	or-four-broad-distinct-21	distinct-properties	586913a4fdb2e9a5cae57d17f3c17f148e9b5c4ed35d337d7fb97d9cb512a2bb	success	200	49cffd06880788859569587f8f77a604a22e71ac9a1df0c256c4a8ac5db7f0a8	172369000	fixture-android-00	64	per-query-cold	57699276	1	0
or-four-broad-rows-22	multi-keyword	or-four-broad-rows-22	properties	3489777e91cc6a682479d8656ba97b33b9af0613d36efea0348a00e8ce5c5abc	success	200	140b3076907f55b10242b5bc310882d929d3aa5e851f9a44e1998729856bd8ad	14906792	fixture-android-00	64	per-query-cold	1152827	1	0
