index	id	family	shape	outcome	samplesPerRuntime	measurementKind	mainLatencyNanos	goLatencyNanos	mainOverGoSingleSampleRatio	rowCount	responseBytes	digest	mainErrorClass	mainReferenceErrorMessage	goErrorClass	goErrorMessage
29	contains-or-wrapped-targeted	wrapped	contains-or-wrapped	success	1	successful-latency	13923375	263963875	0.052747274603390334	200	85931	9b41620c5d38783d39c34332e17f7d0e079a6c8ce8e05707a2b9b976bc4a37fc				
30	contains-or-wrapped-dense	wrapped	contains-or-wrapped	success	1	successful-latency	28480208	1099726333	0.02589754118400291	200	86834	c9cfe78a2f725c44cb51d9d43076dc2a5602ac590ad0d35835c759432572a5cb				
31	graph-id-property-wrapped-contains-target-00-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	1300708	1953292	0.6659055584111336	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
32	graph-id-property-wrapped-contains-target-00-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	934917	2526875	0.36998941380163247	10	5730	00c81103244dc6d42abdc3894d771e5a24957dcf7e5ad4d8dc686b1d7e0cb89e				
33	graph-id-property-wrapped-contains-target-00-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2869458	18703541	0.15341790092047275	200	84411	3bdee68309e62bee93f47848258ded90b1763d55841fa57d8b8fd21867653c44				
34	graph-id-property-wrapped-contains-target-01-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23744916	14367875	1.652639377778551	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
35	graph-id-property-wrapped-contains-target-01-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	465333	2164666	0.21496757467433775	1	758	b33173a678013ac093c95f3fccc5cd5af96ea18082387e1fc872de4817e234b2				
36	graph-id-property-wrapped-contains-target-01-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2744834	19682292	0.13945703071573168	200	84093	d9daf98f04e06930dfeb91ddd4e8ae597b8f9154e54ac1018db6a25ea8ddd84f				
37	graph-id-property-wrapped-contains-target-02-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	28442000	13467042	2.111970839624618	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
38	graph-id-property-wrapped-contains-target-02-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	539417	2423000	0.22262360709863804	9	5751	0754b66fd035110585cc31e6af555127395a9cd85c413f0a859de6b596c3b70d				
39	graph-id-property-wrapped-contains-target-02-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2605209	17987083	0.1448377705267719	200	86930	a289774d080329d12351d967c614eae9b16190b55970a757b1f268e21aee3975				
40	graph-id-property-wrapped-contains-target-03-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	69527167	13917583	4.995635161651272	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
41	graph-id-property-wrapped-contains-target-03-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	458666	2355833	0.19469376649363515	2	1333	77f2da9b0b5a99e6332b957b281149f5e269d152177e36aaa74e86db4bc23bf9				
42	graph-id-property-wrapped-contains-target-03-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2656458	18802834	0.14127966028950742	200	85151	08fbf5fde8e917175e0dca625983535621218120265897bdd0781fe99669b859				
43	graph-id-property-wrapped-contains-target-04-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	32150500	12974875	2.4779044114105147	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
44	graph-id-property-wrapped-contains-target-04-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	514709	2232833	0.2305183594115637	9	5762	527d81de9e8ca9f5fe9ad0166e1e1711fbccaf3c53281e7e95375f6d55e3a3c7				
45	graph-id-property-wrapped-contains-target-04-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2195833	17279750	0.12707550745815188	200	86152	85d9bac3392391ae56f1f03af81d888f398336c8e33a1ef1e42c5409f746f730				
46	graph-id-property-wrapped-contains-target-05-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	21497292	12742500	1.6870545026486168	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
47	graph-id-property-wrapped-contains-target-05-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	542583	2773417	0.19563700662395883	9	5751	48fbef6ae3373a73cfbd3690497aae4d0773c2f4ddadb5d217061398978bcac5				
48	graph-id-property-wrapped-contains-target-05-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2235334	17627458	0.12680977597563983	200	90860	57ae61ccbdbf1e83a9ab8de2923c4ac26bcc634ed53a2f1c1a3ee3682afe8cd8				
49	graph-id-property-wrapped-contains-target-06-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	24420916	15181500	1.6085970424529856	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
50	graph-id-property-wrapped-contains-target-06-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	370042	2470833	0.14976406742179663	1	734	2c8962bfda6df26238f145f32f089e1ccdb69cc26ea9c2fde590f543638ba060				
51	graph-id-property-wrapped-contains-target-06-dense	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	2346334	21174667	0.11080854305760747	200	83941	f7f169fb4cd9a2408b058d9e03502907fe0d9372ba70f2f3749aeaffa464e292				
52	graph-id-property-wrapped-contains-target-07-zero	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	23246833	14463250	1.607303545192125	0	147	805c8c7334c868e18e2be84be95b83cc60895722d739c2b164a68be4cd410c49				
53	graph-id-property-wrapped-contains-target-07-targeted	graph-id	graph-id-property-wrapped-contains	success	1	successful-latency	501875	2338417	0.2146216863801452	1	762	d5674d7adcd2d58f93c5f2849f690003bc45d523850181c23ceaa0aacd7e6709				
