index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
163	graph-id-property-wrapped-contains-target-44-zero	success	19.819375	11.816042	19.630167	12.129	0.312958
164	graph-id-property-wrapped-contains-target-44-targeted	success	0.257459	2.103583	0.260708	2.152791	0.049208
165	graph-id-property-wrapped-contains-target-44-dense	success	1.359583	21.339542	1.355791	21.598	0.258458
166	graph-id-property-wrapped-contains-target-45-zero	success	20.413958	11.210375	19.314459	11.358209	0.147834
167	graph-id-property-wrapped-contains-target-45-targeted	success	0.223375	2.076792	0.234084	2.073791	-0.003001
168	graph-id-property-wrapped-contains-target-45-dense	success	1.421458	20.582084	1.447375	20.870125	0.288041
169	graph-id-property-wrapped-contains-target-46-zero	success	18.678416	11.596958	18.430417	11.611667	0.014709
170	graph-id-property-wrapped-contains-target-46-targeted	success	0.432916	2.111541	0.410209	2.163709	0.052168
171	graph-id-property-wrapped-contains-target-46-dense	success	1.318625	20.909292	1.36225	21.039833	0.130541
172	graph-id-property-wrapped-contains-target-47-zero	success	18.742959	11.174333	18.395084	11.389291	0.214958
173	graph-id-property-wrapped-contains-target-47-targeted	success	0.39475	2.123834	5.6885	2.243334	0.1195
174	graph-id-property-wrapped-contains-target-47-dense	success	1.316708	19.548625	2.70825	19.602375	0.05375
175	graph-id-property-wrapped-contains-target-48-zero	success	14.927417	8.299	15.061959	8.410084	0.111084
176	graph-id-property-wrapped-contains-target-48-targeted	success	0.301792	1.670584	0.375292	1.764958	0.094374
177	graph-id-property-wrapped-contains-target-48-dense	success	8.733666	11.939125	1.317375	12.04675	0.107625
178	graph-id-property-wrapped-contains-target-49-zero	success	16.066042	7.786917	14.352042	7.848959	0.062042
179	graph-id-property-wrapped-contains-target-49-targeted	success	0.657459	1.702125	0.595292	1.76675	0.064625
180	graph-id-property-wrapped-contains-target-49-dense	success	1.206084	10.967292	1.18525	11.138583	0.171291
181	graph-id-property-wrapped-contains-target-50-zero	success	14.011083	7.638417	14.611292	7.734791	0.096374
182	graph-id-property-wrapped-contains-target-50-targeted	success	0.25825	1.65925	0.46975	1.701208	0.041958
183	graph-id-property-wrapped-contains-target-50-dense	success	1.047834	10.834375	4.204666	11.129375	0.295
184	graph-id-property-wrapped-contains-target-51-zero	success	13.783792	7.311292	17.577666	7.403292	0.092
185	graph-id-property-wrapped-contains-target-51-targeted	success	0.296	1.6865	0.384	1.744875	0.058375
186	graph-id-property-wrapped-contains-target-51-dense	success	0.968834	9.798959	10.480375	9.8545	0.055541
187	graph-id-property-wrapped-contains-target-52-zero	success	15.4755	8.403041	15.942042	8.5345	0.131459
188	graph-id-property-wrapped-contains-target-52-targeted	success	0.293375	1.720791	0.425	1.968083	0.247292
189	graph-id-property-wrapped-contains-target-52-dense	success	1.019041	11.986584	1.184625	12.043959	0.057375
190	graph-id-property-wrapped-contains-target-53-zero	success	15.225584	8.612667	16.053541	8.758375	0.145708
191	graph-id-property-wrapped-contains-target-53-targeted	success	0.213166	1.718166	0.297958	1.792042	0.073876
192	graph-id-property-wrapped-contains-target-53-dense	success	0.978292	13.231792	1.088917	13.239833	0.008041
193	graph-id-property-wrapped-contains-target-54-zero	success	13.98225	7.794667	14.832208	7.656291	-0.138376
194	graph-id-property-wrapped-contains-target-54-targeted	success	0.216208	1.662167	0.247458	1.701375	0.039208
195	graph-id-property-wrapped-contains-target-54-dense	success	0.995084	11.2375	0.998875	11.344708	0.107208
196	graph-id-property-wrapped-contains-target-55-zero	success	14.006291	7.819291	14.315791	7.855917	0.036626
197	graph-id-property-wrapped-contains-target-55-targeted	success	0.228125	1.674291	0.259583	1.701083	0.026792
198	graph-id-property-wrapped-contains-target-55-dense	success	1.024791	11.687292	1.051542	11.750167	0.062875
199	graph-id-property-wrapped-contains-target-56-zero	success	15.307917	8.518166	15.6355	8.402833	-0.115333
200	graph-id-property-wrapped-contains-target-56-targeted	success	0.263875	1.730083	0.288458	1.733917	0.003834
201	graph-id-property-wrapped-contains-target-56-dense	success	1.00425	11.771958	0.969958	11.752667	-0.019291
202	graph-id-property-wrapped-contains-target-57-zero	success	14.640667	8.359625	14.790792	8.501708	0.142083
203	graph-id-property-wrapped-contains-target-57-targeted	success	0.181708	1.626958	0.187875	1.796041	0.169083
204	graph-id-property-wrapped-contains-target-57-dense	success	1.054709	11.797416	0.998958	11.91425	0.116834
205	graph-id-property-wrapped-contains-target-58-zero	success	16.357042	9.133875	16.451459	9.180958	0.047083
206	graph-id-property-wrapped-contains-target-58-targeted	success	0.228375	1.837583	0.212959	1.939959	0.102376
207	graph-id-property-wrapped-contains-target-58-dense	success	1.166542	13.460333	1.126208	13.578916	0.118583
208	graph-id-property-wrapped-contains-target-59-zero	success	13.800291	7.466375	13.607584	7.436584	-0.029791
209	graph-id-property-wrapped-contains-target-59-targeted	success	0.244291	1.612167	0.233542	1.727334	0.115167
210	graph-id-property-wrapped-contains-target-59-dense	success	0.910042	10.249875	0.909167	10.137583	-0.112292
211	graph-id-property-wrapped-contains-target-60-zero	success	14.2725	7.901625	14.27	7.849625	-0.052
212	graph-id-property-wrapped-contains-target-60-targeted	success	0.238583	1.720167	0.240625	1.710584	-0.009583
213	graph-id-property-wrapped-contains-target-60-dense	success	0.975	11.391625	0.998	11.386291	-0.005334
214	graph-id-property-wrapped-contains-target-61-zero	success	15.507166	8.291334	15.309958	8.501958	0.210624
215	graph-id-property-wrapped-contains-target-61-targeted	success	0.200917	1.776625	0.210125	1.921208	0.144583
216	graph-id-property-wrapped-contains-target-61-dense	success	1.044041	12.686291	1.076417	12.83275	0.146459
217	graph-id-property-wrapped-contains-target-62-zero	success	15.005167	8.099959	15.041208	8.239625	0.139666
218	graph-id-property-wrapped-contains-target-62-targeted	success	0.18225	1.685292	0.256417	1.795416	0.110124
219	graph-id-property-wrapped-contains-target-62-dense	success	1.017375	11.958417	1.069292	12.027084	0.068667
220	graph-id-property-wrapped-contains-target-63-zero	success	14.379875	7.751833	14.23275	7.72825	-0.023583
221	graph-id-property-wrapped-contains-target-63-targeted	success	0.214667	1.640084	0.22	1.642125	0.002041
222	graph-id-property-wrapped-contains-target-63-dense	success	0.983625	10.180583	1.003125	10.168875	-0.011708
223	graph-id-function-wrapped-contains-target-00-zero	success	0.429333	0.28375	0.417959	0.287333	0.003583
224	graph-id-function-wrapped-contains-target-00-targeted	success	0.070167	0.293792	0.064125	0.301167	0.007375
