index	id	outcome	oldMainMs	oldGoMs	mainMs	goMs	goDeltaMs
170	graph-id-property-wrapped-contains-target-46-targeted	success	0.300291	2.133917	0.222292	2.163792	0.029875
171	graph-id-property-wrapped-contains-target-46-dense	success	1.104583	21.310291	0.969125	21.993042	0.682751
172	graph-id-property-wrapped-contains-target-47-zero	success	19.873541	0.525042	18.50225	0.583292	0.05825
173	graph-id-property-wrapped-contains-target-47-targeted	success	0.268125	2.145667	0.237625	2.186917	0.04125
174	graph-id-property-wrapped-contains-target-47-dense	success	1.058167	19.961084	0.913042	20.226875	0.265791
175	graph-id-property-wrapped-contains-target-48-zero	success	15.973875	0.50125	15.197625	0.51175	0.0105
176	graph-id-property-wrapped-contains-target-48-targeted	success	0.199792	1.732583	0.186959	1.740208	0.007625
177	graph-id-property-wrapped-contains-target-48-dense	success	0.986542	12.253959	0.887916	12.32875	0.074791
178	graph-id-property-wrapped-contains-target-49-zero	success	15.365667	0.486875	14.572958	0.5	0.013125
179	graph-id-property-wrapped-contains-target-49-targeted	success	0.527583	1.714125	0.501	1.73275	0.018625
180	graph-id-property-wrapped-contains-target-49-dense	success	0.95975	11.31825	0.811542	11.404959	0.086709
181	graph-id-property-wrapped-contains-target-50-zero	success	14.877542	0.474	14.075375	0.487792	0.013792
182	graph-id-property-wrapped-contains-target-50-targeted	success	0.181917	1.675542	0.163166	1.670542	-0.005
183	graph-id-property-wrapped-contains-target-50-dense	success	0.919	11.148084	0.793916	11.17675	0.028666
184	graph-id-property-wrapped-contains-target-51-zero	success	14.767667	0.472209	13.967125	0.489541	0.017332
185	graph-id-property-wrapped-contains-target-51-targeted	success	0.199875	1.695583	0.194708	1.675833	-0.01975
186	graph-id-property-wrapped-contains-target-51-dense	success	0.968125	10.025667	0.83625	9.981417	-0.04425
187	graph-id-property-wrapped-contains-target-52-zero	success	16.72475	0.498	15.935916	0.490875	-0.007125
188	graph-id-property-wrapped-contains-target-52-targeted	success	0.201666	1.766083	0.223917	1.783958	0.017875
189	graph-id-property-wrapped-contains-target-52-dense	success	1.010125	12.236625	0.884166	12.130791	-0.105834
190	graph-id-property-wrapped-contains-target-53-zero	success	16.579958	0.490166	15.674084	0.504	0.013834
191	graph-id-property-wrapped-contains-target-53-targeted	success	0.228375	1.766875	0.27675	1.743666	-0.023209
192	graph-id-property-wrapped-contains-target-53-dense	success	1.07775	13.588709	0.99825	13.5065	-0.082209
